idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Is anorectal endosonography valuable in dyschesia?,yes,no,False,3.2274,7.3405,3.8894,3.4511,"""The sphincter is paradoxically shorter and / or thicker during straining in patients with dyschesia.""",292,False,False,unparsable,False,False,2–5,<= 512 (normal)
1,Is there a connection between sublingual varices and hypertension?,yes,no,False,7.3048,9.1557,4.4549,1.8509,"""There is a connection between sublingual varices and hypertension.""",353,False,False,unparsable,False,False,1–2,<= 512 (normal)
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,no,False,6.4369,8.2071,4.7869,1.7702,the ACMIA method is a suitable alternative to the MEIA method for the measurement of tacrolimus concentrations in whole blood.,293,False,False,unparsable,False,False,1–2,<= 512 (normal)
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,False,3.816,7.6085,2.1551,3.7925,"'Yes' for the use of alcohol, illicit drugs, dietary restrictions, cigarette smoking, illicit drugs, dietary restrictions, illicit drugs, dietary restrictions",300,False,False,yes,True,False,2–5,<= 512 (normal)
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,no,False,4.3775,7.113,3.0643,2.7355,LITT-induced disruption of the BBB allows a locoregional passage of paclitaxel into brain tissue.,210,False,False,unparsable,False,False,2–5,<= 512 (normal)
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,no,False,1.9281,4.9879,1.6699,3.0598,SSDH is a sequela of a ruptured intracranial aneurysm.,228,False,False,unparsable,False,False,2–5,<= 512 (normal)
6,Is there a correlation between androgens and sexual desire in women?,yes,no,False,6.8174,8.3555,4.3822,1.538,"TT, r = -0.17, P = 0.055; FT, r = -0.17, P = 0.055; androstenedione, r = -0.17",314,False,False,unparsable,False,False,1–2,<= 512 (normal)
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,no,False,5.2227,6.8402,5.0803,1.6175,the use of QC in this model of arterial injury is beneficial in reducing blood loss and maintaining physiological parameters.,252,False,False,unparsable,False,False,1–2,<= 512 (normal)
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,no,False,2.3203,7.1859,2.6304,4.5555,"(1) Low grade astrocytomas show a vascular pattern similar to control tissue, (2) High grade astrocytomas show a vascular pattern similar to control tissue,",259,False,False,unparsable,False,False,2–5,<= 512 (normal)
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,no,False,7.3165,7.8827,2.6757,0.5662,CBCT is superior to bitewing radiography in detecting proximal cavitations.,253,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
10,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes,no,False,3.5354,9.1222,0.9598,5.5868,"in one case the tumor was not detected by ultrasound, in one case the tumor was not detected by ultrasound, in one case the tumor was not detected",227,False,False,unparsable,False,False,> 5 (confident),<= 512 (normal)
11,Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,no,False,3.8743,7.4986,2.5001,3.6243,"""If the twin A is cephalic, then the twin A is noncephalic.""",217,False,False,unparsable,False,False,2–5,<= 512 (normal)
12,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes,no,False,6.8069,7.8765,4.8901,1.0697,"""The micro-CT method is reliable to determine the microstructure of the maxillary alveolar bone.""",304,False,False,unparsable,False,False,1–2,<= 512 (normal)
13,Is primary angioplasty an acceptable alternative to thrombolysis?,yes,no,False,5.6922,8.5396,3.7302,2.8474,'I am satisfied'.,286,False,False,unparsable,False,False,2–5,<= 512 (normal)
