idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Is anorectal endosonography valuable in dyschesia?,yes,no,False,5.5336,7.4702,4.7551,1.9366,"""Is anorectal endosonography useful in the diagnosis of dyschesia?""",284,False,False,no,True,True,1–2,<= 512 (normal)
1,Is there a connection between sublingual varices and hypertension?,yes,no,False,7.9873,8.4317,3.893,0.4444,"""There is a connection between sublingual varices and hypertension.""",345,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,no,False,7.1175,7.8844,4.0346,0.7668,"""The affinity column-mediated immunoassay method is a suitable alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay.""",285,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,False,5.917,7.7421,3.446,1.8252,"""The specialty of the physician influences the frequency and depth of documentation of the medication history information in patient medical records.""",292,False,False,unparsable,False,False,1–2,<= 512 (normal)
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,no,False,6.8944,7.0809,4.0476,0.1865,LITT-induced disruption of the BBB allows a locoregional passage of chemotherapeutic agents into brain tissue.,202,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,no,False,4.2812,6.9596,2.2325,2.6784,"""The evidence is not strong.""",220,False,False,no,True,True,2–5,<= 512 (normal)
6,Is there a correlation between androgens and sexual desire in women?,yes,no,False,8.459,8.6447,3.8427,0.1858,"""There is no correlation between androgens and sexual desire in women.""",306,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes,True,7.7718,7.0697,5.4687,0.702,"""QuikClot is beneficial in reducing blood loss during arterial injury.""",244,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,no,False,4.6824,7.2438,2.9929,2.5614,"""There is no evidence that the vascular pattern of astrocytomas is indicative of grade.""",251,False,False,no,True,True,2–5,<= 512 (normal)
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes,True,8.7083,7.6238,2.682,1.0846,"""If the lesion is cavitated, then the lesion should be reported as cavitated in CBCT.""",245,False,False,unparsable,False,False,1–2,<= 512 (normal)
10,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes,no,False,6.4735,8.9265,2.6551,2.453,"""Ultrasound is not a useful addition to clinical staging.""",219,False,False,no,True,True,2–5,<= 512 (normal)
11,Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,yes,True,7.9952,7.7916,2.7065,0.2036,"""If the first twin is noncephalic, then the second twin should be cephalic.""",209,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
12,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes,no,False,7.4347,7.6538,4.207,0.2191,"""The micro-CT method is reliable to assess the bone density and the microstructure of the maxillary alveolar bone.""",296,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
13,Is primary angioplasty an acceptable alternative to thrombolysis?,yes,no,False,7.2821,8.158,4.7558,0.8759,'Primary angioplasty is an acceptable alternative to thrombolysis for the treatment of acute myocardial infarction'.,278,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
14,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,yes,no,False,4.7792,7.3409,2.6975,2.5617,endometrial polyp formation is associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1.,369,False,False,unparsable,False,False,2–5,<= 512 (normal)
15,Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes,no,False,3.1294,7.7098,2.3249,4.5804,centralisation of care is not the only factor that has led to improvements in survival.,269,False,False,unparsable,False,False,2–5,<= 512 (normal)
16,Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean delivery?,yes,no,False,6.7824,7.0929,4.0222,0.3105,"""There is a risk of cesarean delivery for women with US-EFW > 3500 g.""",213,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
17,Are financial incentives cost-effective to support smoking cessation during pregnancy?,yes,no,False,5.6815,8.9526,4.7093,3.271,£400 worth of financial incentives is not cost-effective to support smoking cessation in pregnancy.,378,False,False,unparsable,False,False,2–5,<= 512 (normal)
18,Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,yes,no,False,6.3876,8.4576,4.6013,2.0701,AIs increase the risk of thromboembolic events in postmenopausal women with early breast cancer.,335,False,False,unparsable,False,False,2–5,<= 512 (normal)
